Time[s], Channel 0, Channel 1, Channel 2, Channel 3, Channel 4, Channel 5, Channel 6, Channel 7
2.792354333333333, 0, 0, 1, 1, 1, 1, 1, 1
2.792380250000000, 0, 1, 1, 1, 1, 1, 1, 1
2.792381333333334, 0, 1, 0, 1, 1, 1, 1, 1
2.792484250000000, 0, 1, 1, 1, 1, 1, 1, 1
2.792484333333333, 0, 0, 1, 1, 1, 1, 1, 1
2.792510250000000, 0, 1, 1, 1, 1, 1, 1, 1
2.792511333333334, 0, 1, 0, 1, 1, 1, 1, 1
2.792588250000000, 0, 1, 1, 1, 1, 1, 1, 1
2.792588333333334, 0, 0, 1, 1, 1, 1, 1, 1
2.792640250000000, 0, 1, 1, 1, 1, 1, 1, 1
2.792641333333334, 0, 1, 0, 1, 1, 1, 1, 1
2.792666250000000, 0, 1, 1, 1, 1, 1, 1, 1
2.792666333333333, 0, 0, 1, 1, 1, 1, 1, 1
2.792692250000000, 0, 1, 1, 1, 1, 1, 1, 1
2.792693333333334, 0, 1, 0, 1, 1, 1, 1, 1
2.792770250000000, 0, 1, 1, 1, 1, 1, 1, 1
2.792770333333333, 0, 0, 1, 1, 1, 1, 1, 1
2.792978250000000, 0, 1, 1, 1, 1, 1, 1, 1
2.792979333333334, 0, 1, 0, 1, 1, 1, 1, 1
2.793056333333333, 0, 0, 1, 1, 1, 1, 1, 1
2.793108250000000, 0, 1, 1, 1, 1, 1, 1, 1
2.793109333333334, 0, 1, 0, 1, 1, 1, 1, 1
2.793134333333334, 0, 0, 1, 1, 1, 1, 1, 1
2.793160333333334, 0, 1, 1, 1, 1, 1, 1, 1
2.793161333333333, 0, 1, 0, 1, 1, 1, 1, 1
2.793212333333333, 0, 1, 1, 1, 1, 1, 1, 1
2.793212416666667, 0, 0, 1, 1, 1, 1, 1, 1
2.793238333333333, 0, 1, 1, 1, 1, 1, 1, 1
2.793239333333334, 0, 1, 0, 1, 1, 1, 1, 1
2.793342333333333, 0, 1, 1, 1, 1, 1, 1, 1
2.793342416666667, 0, 0, 1, 1, 1, 1, 1, 1
2.793368333333333, 0, 1, 1, 1, 1, 1, 1, 1
2.793369416666667, 0, 1, 0, 1, 1, 1, 1, 1
2.793472333333333, 0, 1, 1, 1, 1, 1, 1, 1
