Time[s], CHAIR HIGH - 0 , Chair LOW - 1, Micro HIGH-2b, Micro LOW-3a, Channel 4, Channel 5, Channel 6, Channel 7
0.000000000000000, 0, 0, 0, 1, 1, 1, 1, 1
3.228799750000000, 0, 0, 1, 1, 1, 1, 1, 1
3.228799833333333, 0, 0, 0, 1, 1, 1, 1, 1
3.228805750000000, 0, 0, 1, 1, 1, 1, 1, 1
3.526532500000000, 0, 0, 0, 1, 1, 1, 1, 1
3.526542833333334, 0, 0, 1, 1, 1, 1, 1, 1
3.526542916666667, 0, 0, 0, 1, 1, 1, 1, 1
3.526550500000000, 0, 0, 1, 0, 1, 1, 1, 1
3.526628250000000, 0, 0, 1, 1, 1, 1, 1, 1
3.526628333333333, 0, 0, 0, 1, 1, 1, 1, 1
3.526654250000000, 0, 0, 1, 0, 1, 1, 1, 1
3.526680250000000, 0, 0, 1, 1, 1, 1, 1, 1
3.526680333333334, 0, 0, 0, 1, 1, 1, 1, 1
3.526758333333333, 0, 0, 1, 0, 1, 1, 1, 1
3.526784250000000, 0, 0, 0, 1, 1, 1, 1, 1
3.526815083333334, 0, 0, 1, 0, 1, 1, 1, 1
3.526840916666667, 0, 0, 1, 1, 1, 1, 1, 1
3.526841000000000, 0, 0, 0, 1, 1, 1, 1, 1
3.526866916666667, 0, 0, 1, 0, 1, 1, 1, 1
3.527022833333334, 0, 0, 0, 1, 1, 1, 1, 1
3.527085750000000, 0, 0, 1, 0, 1, 1, 1, 1
3.527111583333334, 0, 0, 1, 1, 1, 1, 1, 1
3.527111666666667, 0, 0, 0, 1, 1, 1, 1, 1
3.527137583333333, 0, 0, 1, 0, 1, 1, 1, 1
3.527163666666667, 0, 0, 0, 1, 1, 1, 1, 1
3.527215666666667, 0, 0, 1, 0, 1, 1, 1, 1
3.527293666666667, 0, 0, 0, 1, 1, 1, 1, 1
3.527350416666667, 0, 0, 1, 0, 1, 1, 1, 1
3.527376250000000, 0, 0, 0, 1, 1, 1, 1, 1
3.527428250000000, 0, 0, 1, 0, 1, 1, 1, 1
3.527558166666667, 0, 0, 0, 1, 1, 1, 1, 1
3.527614916666667, 0, 0, 1, 1, 1, 1, 1, 1
3.527615000000000, 0, 0, 1, 0, 1, 1, 1, 1
3.527822583333334, 0, 0, 1, 1, 1, 1, 1, 1
3.527822666666667, 0, 0, 0, 1, 1, 1, 1, 1
3.527879333333333, 0, 0, 1, 1, 1, 1, 1, 1
3.527879416666667, 0, 0, 1, 0, 1, 1, 1, 1
3.527931166666667, 0, 0, 1, 1, 1, 1, 1, 1
3.527931250000000, 0, 0, 0, 1, 1, 1, 1, 1
3.527957166666667, 0, 0, 1, 0, 1, 1, 1, 1
